listing_id,title,bhk,price,price_text,area_sqft,area_text,price_per_sqft,property_type,locality,address,url
81271395,"3 BHK Flat for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar, New Delhi",3,60000000.0,₹ 6 Cr,2282.0,2282 sqft,26292.725679228748,,DLF One Midtown,,
81034485,"5 BHK Flat for Sale in Unity The Amaryllis Phase 2, Karol Bagh, New Delhi",5,143100000.0,₹ 14.31 Cr,5236.0,5236 sqft,27330.02291825821,,Unity The Amaryllis Phase 2,,
81300937,"4 BHK Flat for Sale in Unity The Amaryllis Phase 2, Karol Bagh, New Delhi",4,105500000.0,₹ 10.55 Cr,3740.0,3740 sqft,28208.55614973262,,Unity The Amaryllis Phase 2,,
69741839,"4 BHK Flat for Sale in Indus Luxury Builder Floor, Greater Kailash 2, New Delhi",4,80000000.0,₹ 8 Cr,2700.0,2700 sqft,29629.62962962963,,Indus Luxury Builder Floor,,
69922285,"3 BHK Flat for Sale in Metro Premium Builder Floor, Greater Kailash 1, New Delhi",3,62500000.0,₹ 6.25 Cr,1872.0,1872 sqft,33386.75213675214,,Metro Premium Builder Floor,,
79113455,"2 BHK Flat for Sale in Saket, New Delhi",2,6500000.0,₹ 65 Lac,850.0,850 sqft,7647.058823529412,,,,
78566849,"3 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",3,29000000.0,₹ 2.90 Cr,1300.0,1300 sqft,22307.69230769231,,DLF Capital Greens 1 and 2,,
74335965,"3 BHK Flat for Sale in DDA Flats Munirka, Munirka, New Delhi",3,21000000.0,₹ 2.10 Cr,1450.0,1450 sqft,14482.758620689656,,DDA Flats Munirka,,
72514339,"3 BHK Flat for Sale in New Rajendra Nagar, New Delhi",3,27000000.0,₹ 2.70 Cr,1300.0,1300 sqft,20769.23076923077,,,,
81359695,"3 BHK Flat for Sale in Bahawalpur Biradari Apartment, Sector 6 Dwarka, New Delhi",3,24500000.0,₹ 2.45 Cr,1725.0,1725 sqft,14202.898550724638,,Bahawalpur Biradari Apartment,,
81067933,"4 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",4,79000000.0,₹ 7.90 Cr,2200.0,2200 sqft,35909.09090909091,,DLF Capital Greens 1 and 2,,
80266327,"4 BHK Flat for Sale in Vasant Apartment, Vasant Vihar, New Delhi",4,130000000.0,₹ 13 Cr,2200.0,2200 sqft,59090.90909090909,,Vasant Apartment,,
72604737,"3 BHK Flat for Sale in Sector 24 Rohini, New Delhi",3,12000000.0,₹ 1.20 Cr,1000.0,1000 sqft,12000.0,,,,
81291331,"3 BHK Flat for Sale in Sector 12 Dwarka, New Delhi",3,32500000.0,₹ 3.25 Cr,1500.0,1500 sqft,21666.666666666668,,,,
78632513,"3 BHK Flat for Sale in Parijat Apartment, Sector 4 Dwarka, New Delhi",3,25200000.0,₹ 2.52 Cr,1300.0,1300 sqft,19384.615384615383,,Parijat Apartment,,
75214569,"4 BHK Flat for Sale in Vishrantika Apartments, Dwarka, New Delhi",4,35000000.0,₹ 3.50 Cr,2200.0,2200 sqft,15909.09090909091,,Vishrantika Apartments,,
81415971,"3 BHK Flat for Sale in Prime Luxury Builder Floor, Greater Kailash 1, New Delhi",3,43000000.0,₹ 4.30 Cr,1600.0,1600 sqft,26875.0,,Prime Luxury Builder Floor,,
71889251,"3 BHK Flat for Sale in New Jyoti Apartments, Dwarka, New Delhi",3,26500000.0,₹ 2.65 Cr,1300.0,1300 sqft,20384.615384615383,,New Jyoti Apartments,,
80891371,"3 BHK Flat for Sale in Uttam Nagar, New Delhi",3,8500000.0,₹ 85 Lac,1000.0,1000 sqft,8500.0,,,,
81109489,"3 BHK Flat for Sale in DDA Flats Vasant Kunj, Vasant Kunj, New Delhi",3,42500000.0,₹ 4.25 Cr,1750.0,1750 sqft,24285.714285714286,,DDA Flats Vasant Kunj,,
57885411,"4 BHK Flat for Sale in Sunny Valley Apartments, Dwarka, New Delhi",4,45000000.0,₹ 4.50 Cr,2450.0,2450 sqft,18367.34693877551,,Sunny Valley Apartments,,
78921859,"3 BHK Flat for Sale in Greater Kailash Builder Floors, Greater Kailash, New Delhi",3,64500000.0,₹ 6.45 Cr,2250.0,250 sqyrd,28666.666666666668,,Greater Kailash Builder Floors,,
78533653,"4 BHK Flat for Sale in Janakpuri, New Delhi",4,65000000.0,₹ 6.50 Cr,2200.0,2200 sqft,29545.454545454544,,,,
79729829,"3 BHK Flat for Sale in Risland Sky Mansion, Chattarpur, New Delhi",3,62900000.0,₹ 6.29 Cr,3300.0,3300 sqft,19060.60606060606,,,,
79119459,"3 BHK Flat for Sale in Malviya Nagar, New Delhi",3,32500000.0,₹ 3.25 Cr,1700.0,1700 sqft,19117.647058823528,,,,
81263051,"3 BHK Flat for Sale in Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj, New Delhi",3,43000000.0,₹ 4.30 Cr,1680.0,1680 sqft,25595.238095238095,,Saraswati Narmada Ganga Yamuna Apartment,,
80184369,"4 BHK Flat for Sale in Chattarpur, New Delhi",4,18500000.0,₹ 1.85 Cr,2000.0,2000 sqft,9250.0,,,,
58583645,"4 BHK Flat for Sale in Greater Kailash 1, New Delhi",4,77500000.0,₹ 7.75 Cr,2520.0,280 sqyrd,30753.968253968254,,,,
60415017,"3 BHK Flat for Sale in Defence Colony, New Delhi",3,77000000.0,₹ 7.70 Cr,2925.0,2925 sqft,26324.786324786324,,,,
59487691,"3 BHK Flat for Sale in Moti Nagar, Kirti Nagar, New Delhi",3,33000000.0,₹ 3.30 Cr,1500.0,1500 sqft,22000.0,,,,
81113751,"4 BHK Apartment for Sale in The Excellence Apartment, Dwarka New Delhi",4,37500000.0,₹ 3.75 Cr,2100.0,2100 sqft,17857.14285714286,,The Excellence Apartment,,
77738397,4 BHK Builder Floor for Sale in Janakpuri New Delhi,4,46000000.0,₹ 4.60 Cr,1900.0,1900 sqft,24210.526315789473,,,,
79111319,4 BHK Builder Floor for Sale in Defence Colony New Delhi,4,150000000.0,₹ 15 Cr,2925.0,325 sqyrd,51282.05128205128,,,,
70405847,"4 BHK Builder Floor for Sale in Omdev Homes, Greater Kailash 1 New Delhi",4,150000000.0,₹ 15 Cr,6000.0,6000 sqft,25000.0,,Omdev Homes,,
80276013,4 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,4,25000000.0,₹ 2.50 Cr,1250.0,1250 sqft,20000.0,,,,
80421793,3 BHK Apartment for Sale in Pitam Pura New Delhi,3,42500000.0,₹ 4.25 Cr,1300.0,1300 sqft,32692.30769230769,,,,
80969663,3 BHK Builder Floor for Sale in Sector 24 Rohini New Delhi,3,11500000.0,₹ 1.15 Cr,1000.0,1000 sqft,11500.0,,,,
79154927,"2 BHK Apartment for Sale in Vinayak Apartments, Sector 10 Dwarka New Delhi",2,21500000.0,₹ 2.15 Cr,1250.0,1250 sqft,17200.0,,Vinayak Apartments,,
80574713,"2 BHK Apartment for Sale in Konark Apartments, Patparganj New Delhi",2,16500000.0,₹ 1.65 Cr,1050.0,1050 sqft,15714.285714285714,,Konark Apartments,,
62401383,3 BHK Builder Floor for Sale in Chattarpur New Delhi,3,6000000.0,₹ 60 Lac,900.0,900 sqft,6666.666666666667,,,,
75498519,4 BHK Builder Floor for Sale in New Friends Colony New Delhi,4,70000000.0,₹ 7 Cr,3500.0,3500 sqft,20000.0,,,,
